Day,Date,total_cases,new_cases,total_deaths,new_deaths,new_cases_per_million,new_tests,new_cases,total_tests,tests_per_case,positive_rate,hospital_beds_per_thousand,population
45,13-02-2020,3,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,nan,0.53,1380004385.0
46,14-02-2020,3,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,nan,0.53,1380004385.0
47,15-02-2020,3,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,nan,0.53,1380004385.0
48,16-02-2020,3,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,nan,0.53,1380004385.0
49,17-02-2020,3,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,nan,0.53,1380004385.0
50,18-02-2020,3,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,nan,0.53,1380004385.0
51,19-02-2020,3,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,nan,0.53,1380004385.0
52,20-02-2020,3,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,nan,0.53,1380004385.0
53,21-02-2020,3,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,nan,0.53,1380004385.0
54,22-02-2020,3,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,nan,0.53,1380004385.0
55,23-02-2020,3,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,nan,0.53,1380004385.0
56,24-02-2020,3,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,nan,0.53,1380004385.0
57,25-02-2020,3,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,nan,0.53,1380004385.0
58,26-02-2020,3,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,nan,0.53,1380004385.0
59,27-02-2020,3,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,nan,0.53,1380004385.0
60,28-02-2020,3,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,nan,0.53,1380004385.0
61,29-02-2020,3,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,nan,0.53,1380004385.0
62,01-03-2020,3,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,nan,0.53,1380004385.0
63,02-03-2020,3,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,nan,0.53,1380004385.0
64,03-03-2020,5,2.0,0.0,0.0,0.001,nan,2.0,nan,nan,nan,0.53,1380004385.0
65,04-03-2020,6,1.0,0.0,0.0,0.001,nan,1.0,nan,nan,nan,0.53,1380004385.0
66,05-03-2020,28,22.0,0.0,0.0,0.016,nan,22.0,nan,nan,nan,0.53,1380004385.0
67,06-03-2020,29,1.0,0.0,0.0,0.001,nan,1.0,nan,nan,nan,0.53,1380004385.0
68,07-03-2020,31,2.0,0.0,0.0,0.001,nan,2.0,nan,nan,nan,0.53,1380004385.0
69,08-03-2020,34,3.0,0.0,0.0,0.002,nan,3.0,nan,nan,nan,0.53,1380004385.0
70,09-03-2020,40,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.53,1380004385.0
71,10-03-2020,44,10.0,0.0,0.0,0.006999999999999999,nan,10.0,nan,nan,nan,0.53,1380004385.0
